sales_rep_update_id,transformer_id,transformer_name,new_sales_rep_id,initiator_name,request_date
1,31,Transformer_31,194,Wendy Steele,3/26/2026
2,32,Transformer_32,17,Wendy Steele,3/26/2026
3,33,Transformer_33,165,Wendy Steele,3/26/2026
4,34,Transformer_34,43,Wendy Steele,3/26/2026
5,35,Transformer_35,13,Wendy Steele,3/26/2026
6,36,Transformer_36,55,Wendy Steele,3/26/2026
7,37,Transformer_37,192,Wendy Steele,3/26/2026
8,38,Transformer_38,174,Wendy Steele,3/26/2026
9,39,Transformer_39,189,Wendy Steele,3/26/2026
10,40,Transformer_40,169,Wendy Steele,3/26/2026
